trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
2123688,9,248818,Trenton Station,3821,1,3821,109,
2123689,7,248818,Penn Station New York,6632,0,6632,27,
2123690,9,248818,Trenton Station,3843,1,3843,109,
2123691,9,248818,Penn Station New York,3846,0,3846,9,
2123692,9,248818,Jersey Avenue,3165,1,3165,109,
2123693,7,248818,Dover,6635,1,6635,127,
2123694,9,248818,Penn Station New York,3874,0,3874,9,
2123696,9,248818,Jersey Avenue,3719,1,3719,109,
2123697,9,248818,Trenton Station,3833,1,3833,109,
2123698,9,248818,Trenton Station,3965,1,3965,109,
2123699,9,248818,Trenton Station,3889,1,3889,109,
2123700,9,248818,Trenton Station,3825,1,3825,109,
2123701,9,248818,Trenton Station,3835,1,3835,109,
2123702,9,248818,Trenton Station,3857,1,3857,109,
2123703,9,248818,Penn Station New York,3864,0,3864,9,
2123704,15,248818,Penn Station New York,5154,0,5154,15,
2123706,7,248818,Hoboken,0872,0,0872,7,
2123707,2,248818,Penn Station New York,6258,0,6258,22,
2123708,9,248818,Penn Station New York,3866,0,3866,9,
2123709,9,248818,Penn Station New York,3886,0,3886,9,
2123712,14,248818,Princeton Station,4113,1,4113,114,
2123713,14,248818,Princeton Junction,4114,0,4114,14,
2123714,14,248818,Princeton Station,4115,1,4115,114,
2123715,14,248818,Princeton Station,4121,1,4121,114,
2123716,14,248818,Princeton Station,4129,1,4129,114,
2123717,14,248818,Princeton Junction,4162,0,4162,14,
2123718,14,248818,Princeton Junction,4184,0,4184,14,
2123719,9,248818,Penn Station New York,3880,0,3880,9,
2123721,9,248818,Trenton Station,3887,1,3887,109,
2123722,9,248818,Jersey Avenue,3737,1,3737,109,
2123723,9,248818,Penn Station New York,3892,0,3892,9,
2123724,9,248818,Trenton Station,3893,1,3893,109,
2123725,9,248818,Penn Station New York,3742,0,3742,9,
2123726,14,248818,Princeton Junction,4188,0,4188,14,
2123727,14,248818,Princeton Junction,4190,0,4190,14,
2123728,14,248818,Princeton Station,4189,1,4189,114,
2123729,14,248818,Princeton Station,4191,1,4191,114,
2123730,14,248818,Princeton Station,4193,1,4193,114,
2123731,14,248818,Princeton Junction,4192,0,4192,14,
2123732,14,248818,Princeton Junction,4186,0,4186,14,
2123733,14,248818,Princeton Station,4185,1,4185,114,
2123734,14,248818,Princeton Station,4187,1,4187,114,
