trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
2144889,6,250283,Hoboken,"1130",0,1130,25,
2131902,6,249232,Hoboken,"1134",0,1134,25,
2131918,5,249232,Hoboken,"1148",0,1148,5,
2143329,5,249426,Suffern,"1155",1,1155,105,
2131350,5,249232,Hoboken,"1156",0,1156,5,
2143562,5,249508,Suffern,"1157",1,1157,105,
2143403,5,249451,Suffern,"1161",1,1161,105,
2143486,5,249436,Suffern,"1167",1,1167,105,
2143475,6,249435,Suffern,"1169",1,1169,125,
2144833001,5,249442,Suffern,"1173",1,1173,105,
2143450,5,249436,Suffern,"1175",1,1175,105,
2131337,5,249232,Hoboken,"1182",0,1182,5,
2133875,6,249232,Hoboken,"1206",0,1206,25,
2143559,6,249442,Waldwick,"1211",1,1211,125,
2143501,6,249435,Waldwick,"1215",1,1215,125,
2143434,6,249667,Hoboken,"1220",0,1220,25,
2144872,6,250283,Waldwick,"1223",1,1223,125,
2131336,5,249232,Waldwick,"1249",1,1249,105,
2131338,5,249232,Hoboken,"1252",0,1252,5,
2133781,15,249339,Raritan,"5519",1,5519,115,
2133784,15,249339,Newark Penn Station,"5522",0,5522,15,
2133787,15,249339,Raritan,"5525",1,5525,115,
2144701,9,250050,Rahway,"7673",1,7673,109,
2132664,9,249235,Penn Station New York,"7800",0,7800,9,
2134566,9,249235,Trenton Station,"7801",1,7801,109,
2132458,9,249235,Penn Station New York,"7804",0,7804,9,
2132660,9,249235,Trenton Station,"7805",1,7805,109,
2132200,9,249235,Penn Station New York,"7808",0,7808,9,
2132644,9,249235,Trenton Station,"7813",1,7813,109,
2132309,9,249235,Penn Station New York,"7814",0,7814,9,
2132487,9,249235,Trenton Station,"7817",1,7817,109,
2132204,9,249235,Penn Station New York,"7818",0,7818,9,
2132477,9,249235,Penn Station New York,"7820",0,7820,9,
2132203,9,249235,Penn Station New York,"7824",0,7824,9,
2132198,7,249235,Penn Station New York,"6944",0,6944,27,
2132199,7,249235,Dover,"6945",1,6945,127,
2132601,10,249235,Penn Station New York,"7204",0,7204,20,
2132667,10,249235,Long Branch,"7205",1,7205,120,
2132602,10,249235,Penn Station New York,"7208",0,7208,20,
2132605,10,249235,Penn Station New York,"7216",0,7216,20,
2132625,10,249235,Long Branch,"7217",1,7217,120,
2132626,10,249235,Long Branch,"7221",1,7221,120,
2132783,10,249234,Penn Station New York,"7224",0,7224,20,
2132600,10,249236,Penn Station New York,"7224",0,7224,20,
2132608,10,249236,Penn Station New York,"7228",0,7228,20,
2132785,10,249234,Penn Station New York,"7232",0,7232,20,
2132798,10,249234,Long Branch,"7233",1,7233,120,
2132610,10,249236,Penn Station New York,"7236",0,7236,20,
2144667,10,250050,Long Branch,"7237",1,7237,120,
2132787,10,249234,Penn Station New York,"7240",0,7240,20,
2144906,10,250046,Long Branch,"7241",1,7241,120,
2132780,10,249234,Penn Station New York,"7244",0,7244,20,
2142390,10,249954,Long Branch,"7245",1,7245,120,
2132796,10,249236,Penn Station New York,"7248",0,7248,20,
2132789,10,249234,Penn Station New York,"7252",0,7252,20,
2132805,10,249234,Long Branch,"7253",1,7253,120,
2132806,10,249234,Long Branch,"7257",1,7257,120,
2132633,10,249236,Long Branch,"7257",1,7257,120,
2132613,10,249236,Penn Station New York,"7260",0,7260,20,
2132792,10,249236,Penn Station New York,"7264",0,7264,20,
2132635,10,249236,Long Branch,"7265",1,7265,120,
2132810,10,249236,Long Branch,"7269",1,7269,120,
2132636,10,249235,Long Branch,"7273",1,7273,120,
2132476,9,249235,Penn Station New York,"7620",0,7620,9,
2132449,9,249235,Rahway,"7629",1,7629,109,
2144613,9,250046,Penn Station New York,"7632",0,7632,9,
2144698,9,250052,Penn Station New York,"7632",0,7632,9,
2132452,9,249235,Penn Station New York,"7652",0,7652,9,
2132454,9,249235,Rahway,"7657",1,7657,109,
2142205,9,249904,Rahway,"7661",1,7661,109,
2132484,9,249235,Rahway,"7665",1,7665,109,
2144607,9,250046,Rahway,"7673",1,7673,109,
2132482,9,249235,Penn Station New York,"7826",0,7826,9,
2132207,9,249235,Penn Station New York,"7830",0,7830,9,
2132490,9,249235,Trenton Station,"7833",1,7833,109,
2144669,9,250050,Trenton Station,"7837",1,7837,109,
2144592,9,250046,Secaucus Station,"7839",1,7839,109,
2144600,9,250046,Trenton Station,"7841",1,7841,109,
2144599,9,250047,Trenton Station,"7841",1,7841,109,
2142443,9,250046,Penn Station New York,"7842",0,7842,9,
2132208,9,249235,Penn Station New York,"7844",0,7844,9,
2133794,15,249339,Raritan,"5529",1,5529,115,
2133792,15,249339,Raritan,"5533",1,5533,115,
2133799,15,249339,Newark Penn Station,"5536",0,5536,15,
2133795,15,249339,Newark Penn Station,"5540",0,5540,15,
2133706,15,249283,Newark Penn Station,"5710",0,5710,15,
2133735,15,249283,High Bridge,"5719",1,5719,115,
2133736,15,249283,Newark Penn Station,"5742",0,5742,15,
2133707,15,249283,High Bridge,"5747",1,5747,115,
2133759,15,249283,Plainfield,"5939",1,5939,115,
2131807,2,249232,Penn Station New York,"6204",0,6204,22,
2137333,2,249283,Penn Station New York,"6216",0,6216,22,
2131265,2,249232,Penn Station New York,"6230",0,6230,22,
2144631,2,249427,Montclair State University,"6237",1,6237,122,
2131865,2,249232,Penn Station New York,"6246",0,6246,22,
2135373,2,249426,Montclair State University,"6263",1,6263,122,
2142409001,2,249435,Montclair State University,"6273",1,6273,122,
2142191,2,250283,Montclair State University,"6279",1,6279,122,
2131812,7,249232,Summit,"6305",1,6305,127,
2132084,7,249232,Penn Station New York,"6318",0,6318,27,
2142428001,7,249442,Summit,"6339",1,6339,127,
2142207,7,249667,Summit,"6341",1,6341,127,
2142436,7,249426,Summit,"6351",1,6351,127,
2131289,7,249436,Summit,"6359",1,6359,127,
2131796,8,249232,Penn Station New York,"6406",0,6406,28,
2142408001,8,249435,Gladstone,"6431",1,6431,128,
2142413001,8,249435,Gladstone,"6437",1,6437,128,
2134798,7,249245,Dover,"6601",1,6601,127,
2131917,7,249232,Penn Station New York,"6606",0,6606,27,
2133847,7,249283,Dover,"6613",1,6613,127,
2134113,7,249283,Penn Station New York,"6616",0,6616,27,
2131294,7,249232,Dover,"6621",1,6621,127,
2131389,7,249232,Dover,"6627",1,6627,127,
2131296,7,249232,Dover,"6631",1,6631,127,
2142429,7,249435,Dover,"6639",1,6639,127,
2142212,7,249666,Dover,"6639",1,6639,127,
2131728,7,249232,Dover,"6643",1,6643,127,
2142199,7,249730,Dover,"6647",1,6647,127,
2142410001,7,249435,Dover,"6651",1,6651,127,
2144814,7,249451,Penn Station New York,"6654",0,6654,27,
2142189,7,249672,Dover,"6655",1,6655,127,
2142442001,7,249435,Dover,"6659",1,6659,127,
2142445001,7,249435,Dover,"6663",1,6663,127,
2142174,7,249733,Dover,"6663",1,6663,127,
2144781001,7,249442,Dover,"6667",1,6667,127,
2131313,7,249232,Dover,"6671",1,6671,127,
2131315,7,249232,Dover,"6677",1,6677,127,
2132169,7,249235,Penn Station New York,"6912",0,6912,27,
2132174,7,249235,Dover,"6917",1,6917,127,
2132179,7,249235,Penn Station New York,"6922",0,6922,27,
2142396,7,249904,Dover,"6925",1,6925,127,
2132188,7,249235,Penn Station New York,"6932",0,6932,27,
2132195,7,249235,Dover,"6939",1,6939,127,
2131339,5,249232,Hoboken,"1254",0,1254,5,
2143508,5,249667,Waldwick,"1263",1,1263,105,
2143519,5,249442,Hoboken,"1266",0,1266,5,
2144837,5,249426,Waldwick,"1271",1,1271,105,
2143303,5,249426,Hoboken,"1272",0,1272,5,
2143423,5,249435,Hoboken,"1274",0,1274,5,
2143422,5,249436,Hoboken,"1276",0,1276,5,
2144885,5,250283,Hoboken,"1278",0,1278,5,
2132479,9,249235,Trenton Station,"7847",1,7847,109,
2132493,9,249235,Trenton Station,"7849",1,7849,109,
2132502,9,249235,Penn Station New York,"7850",0,7850,9,
2132486,9,249235,Trenton Station,"7853",1,7853,109,
2132214,9,249235,Penn Station New York,"7854",0,7854,9,
2132256,9,249235,Penn Station New York,"7856",0,7856,9,
2132242,9,249235,Trenton Station,"7857",1,7857,109,
2132485,9,249235,Trenton Station,"7859",1,7859,109,
2132257,9,249235,Penn Station New York,"7860",0,7860,9,
2132495,9,249235,Trenton Station,"7863",1,7863,109,
2132472,9,249235,Penn Station New York,"7864",0,7864,9,
2132255,9,249235,Trenton Station,"7867",1,7867,109,
2132258,9,249235,Penn Station New York,"7868",0,7868,9,
2132496,9,249235,Trenton Station,"7869",1,7869,109,
2132259,9,249235,Penn Station New York,"7872",0,7872,9,
2132243,9,249235,Trenton Station,"7873",1,7873,109,
2144604,9,250046,Trenton Station,"7875",1,7875,109,
2144703,9,250050,Trenton Station,"7875",1,7875,109,
2132260,9,249235,Penn Station New York,"7876",0,7876,9,
2132500,9,249235,Trenton Station,"7877",1,7877,109,
2144610,9,250046,Trenton Station,"7879",1,7879,109,
2144705,9,250050,Trenton Station,"7879",1,7879,109,
2132515,9,249235,Penn Station New York,"7880",0,7880,9,
2132244,9,249235,Trenton Station,"7881",1,7881,109,
2144174,9,250048,Trenton Station,"7883",1,7883,109,
2132245,9,249235,Trenton Station,"7885",1,7885,109,
2134839,10,249356,Long Branch,"8223",1,8223,120,
2143640,10,250050,Penn Station New York,"8290",0,8290,20,
2143639,10,250050,Long Branch,"8291",1,8291,120,
2144672,10,249563,Bay Head,"8307",1,8307,120,
2134824,10,249356,Bay Head,"8321",1,8321,120,
2137441,10,249231,Bay Head,"8353",1,8353,120,
2142147,10,249759,Bay Head,"8393",1,8393,120,
2134785,8,249361,Peapack,"8431",1,8431,128,
2134791,8,249361,Peapack,"8433",1,8433,128,
2142134,7,249759,Summit,"8491",1,8491,127,
2143002,7,250046,Summit,"8491",1,8491,127,
2143001,7,250046,Summit,"8493",1,8493,127,
2142109,9,249759,Penn Station New York,"8494",0,8494,9,
2134995,15,249359,Newark Penn Station,"8512",0,8512,15,
2137442,15,249337,Raritan,"8529",1,8529,115,
2134783,15,249361,Raritan,"8551",1,8551,115,
2143632,9,250050,Penn Station New York,"8602",0,8602,9,
2143666,9,249435,Penn Station New York,"8606",0,8606,9,
2142115,9,249759,Penn Station New York,"8606",0,8606,9,
2136749,9,249426,Secaucus Station,"8607",1,8607,109,
2142996,9,250046,Secaucus Station,"8607",1,8607,109,
2143628,9,250050,Penn Station New York,"8608",0,8608,9,
2142994,9,250046,Secaucus Station,"8609",1,8609,109,
2143669,9,249435,Penn Station New York,"8610",0,8610,9,
2144654,9,249426,Secaucus Station,"8613",1,8613,109,
2142093,9,249759,Secaucus Station,"8613",1,8613,109,
2142143,9,249759,Penn Station New York,"8614",0,8614,9,
2143624,9,250050,Penn Station New York,"8614",0,8614,9,
2143623,9,250050,Secaucus Station,"8615",1,8615,109,
2142096,9,249759,Secaucus Station,"8617",1,8617,109,
2144154,9,249426,Penn Station New York,"8618",0,8618,9,
2143504,6,249667,Ridgewood,"1319",1,1319,125,
2143550,5,249505,Ridgewood,"1353",1,1353,105,
2131447,13,249232,Hoboken,"1604",0,1604,13,
2131670,13,249232,Spring Valley,"1607",1,1607,113,
2143340,13,249427,Spring Valley,"1611",1,1611,113,
2143554,13,249508,Spring Valley,"1613",1,1613,113,
2132028,13,249232,Hoboken,"1618",0,1618,13,
2143511,13,249435,Spring Valley,"1623",1,1623,113,
2143465,13,249435,Spring Valley,"1625",1,1625,113,
2143532,13,249508,Hoboken,"1626",0,1626,13,
2143538,13,249508,Hoboken,"1628",0,1628,13,
2143546,13,249666,Hoboken,"1630",0,1630,13,
2143412,13,249451,Hoboken,"1632",0,1632,13,
2144857,13,249426,Spring Valley,"1635",1,1635,113,
2143473,13,249435,Spring Valley,"1641",1,1641,113,
2143323,13,249426,Hoboken,"1652",0,1652,13,
2143576,13,249506,New Bridge Landing,"1653",1,1653,113,
2132588,6,250049,Hoboken,"1710",0,1710,25,
2143159,6,250050,Hoboken,"1712",0,1712,25,
2142237,6,249759,Hoboken,"1714",0,1714,25,
2132573,6,250049,Suffern,"1715",1,1715,125,
2143161,6,250050,Hoboken,"1716",0,1716,25,
2132577,6,250051,Suffern,"1717",1,1717,125,
2132592,6,250052,Hoboken,"1718",0,1718,25,
2132578,6,250052,Suffern,"1719",1,1719,125,
2142233,6,249759,Suffern,"1721",1,1721,125,
2142241,6,249759,Hoboken,"1722",0,1722,25,
2143157,6,250050,Suffern,"1723",1,1723,125,
2132581,6,250048,Suffern,"1725",1,1725,125,
2132597,6,249235,Hoboken,"1728",0,1728,25,
2132599,6,249235,Hoboken,"1732",0,1732,25,
2132146,5,249240,Hoboken,"1786",0,1786,5,
2132571,6,249235,Ridgewood,"1837",1,1837,125,
2132246,5,249235,Hoboken,"1858",0,1858,5,
2142251,5,249759,Hoboken,"1866",0,1866,5,
2132222,5,250051,Waldwick,"1867",1,1867,105,
2143129,5,250046,Waldwick,"1869",1,1869,105,
2143130,5,250046,Waldwick,"1871",1,1871,105,
2143131,5,250046,Waldwick,"1873",1,1873,105,
2143132,5,250046,Waldwick,"1875",1,1875,105,
2132227,5,250053,Waldwick,"1877",1,1877,105,
2144730,5,250046,Hoboken,"1880",0,1880,5,
2132241,5,249235,Hoboken,"1882",0,1882,5,
2132363,13,249235,Spring Valley,"2103",1,2103,113,
2143142,13,250050,Hoboken,"2110",0,2110,13,
2132369,13,250051,Spring Valley,"2111",1,2111,113,
2143144,13,250050,Hoboken,"2112",0,2112,13,
2143114,13,250046,Hoboken,"2114",0,2114,13,
2143115,13,250046,Spring Valley,"2115",1,2115,113,
2143116,13,250046,Spring Valley,"2117",1,2117,113,
2132374,13,249904,Hoboken,"2118",0,2118,13,
2142227,13,249759,Spring Valley,"2121",1,2121,113,
2143151,13,250050,Hoboken,"2122",0,2122,13,
2132378,13,250053,Spring Valley,"2123",1,2123,113,
2144736,13,250050,Hoboken,"2124",0,2124,13,
2132380,13,250053,Spring Valley,"2125",1,2125,113,
2143818,17,249435,Meadowlands,"2201",1,2201,117,
2143739,17,249426,Hoboken,"2202",0,2202,17,
2142288,17,249759,Hoboken,"2202",0,2202,17,
2142263,17,249759,Meadowlands,"2203",1,2203,117,
2143845,17,249435,Hoboken,"2204",0,2204,17,
2143714,17,249426,Meadowlands,"2205",1,2205,117,
2143183001,17,250050,Meadowlands,"2205",1,2205,117,
2143035,17,249451,Hoboken,"2206",0,2206,17,
2143011,17,249451,Meadowlands,"2207",1,2207,117,
2143210,17,249442,Hoboken,"2208",0,2208,17,
2143210001,17,250050,Hoboken,"2208",0,2208,17,
2143710,9,249563,Penn Station New York,"8618",0,8618,9,
2142144,9,249759,Penn Station New York,"8618",0,8618,9,
2143621,9,250050,Penn Station New York,"8618",0,8618,9,
2144032,9,249426,Penn Station New York,"8622",0,8622,9,
2144129,9,249451,Penn Station New York,"8622",0,8622,9,
2136570,9,249426,Secaucus Station,"8623",1,8623,109,
2136570002,9,249451,Secaucus Station,"8623",1,8623,109,
2142145,9,249759,Penn Station New York,"8624",0,8624,9,
2143619,9,250050,Penn Station New York,"8624",0,8624,9,
2137238,9,249426,Secaucus Station,"8625",1,8625,109,
2142985,7,250046,Watsessing Avenue (Bloomfield),"8625",1,8625,7,
2143618,7,250050,Watsessing Avenue (Bloomfield),"8625",1,8625,7,
2144034001,9,249442,Penn Station New York,"8626",0,8626,9,
2144131,9,249451,Penn Station New York,"8626",0,8626,9,
2136576,9,249426,Secaucus Station,"8627",1,8627,109,
2144083,9,249451,Secaucus Station,"8627",1,8627,109,
2137507,9,249426,Secaucus Station,"8629",1,8629,109,
2144799001,2,249451,Montclair State University,"8629",1,8629,122,
2142133,7,249759,Watsessing Avenue (Bloomfield),"8629",1,8629,7,
2144012,9,249426,Penn Station New York,"8630",0,8630,9,
2144109,9,249451,Penn Station New York,"8630",0,8630,9,
2144141,9,249451,Penn Station New York,"8636",0,8636,9,
2144802,7,249442,Summit,"8637",1,8637,127,
2136598,9,249426,Secaucus Station,"8639",1,8639,109,
2136598002,9,249451,Secaucus Station,"8639",1,8639,109,
2136599002,9,249451,Secaucus Station,"8641",1,8641,109,
2144133,9,249442,Penn Station New York,"8642",0,8642,9,
2144068,9,249442,Secaucus Station,"8649",1,8649,109,
2144815,9,249451,Penn Station New York,"8650",0,8650,9,
2144090001,9,249451,Penn Station New York,"8686",0,8686,9,
2144817,9,249451,Penn Station New York,"8692",0,8692,9,
2142089,9,249759,Penn Station New York,"8700",0,8700,9,
2142982,9,250046,Penn Station New York,"8702",0,8702,9,
2142121,9,249759,Penn Station New York,"8704",0,8704,9,
2142123,9,249759,Penn Station New York,"8706",0,8706,9,
2143613,9,250050,Penn Station New York,"8706",0,8706,9,
2143612,9,250050,Penn Station New York,"8708",0,8708,9,
2143667,9,249435,Penn Station New York,"8710",0,8710,9,
2142978,9,250046,Penn Station New York,"8710",0,8710,9,
2142977,9,250046,Secaucus Station,"8711",1,8711,109,
2142125,9,249759,Penn Station New York,"8712",0,8712,9,
2142975,9,250046,Newark Penn Station,"8713",1,8713,109,
2137509,9,249426,Secaucus Station,"8719",1,8719,109,
2142974,9,250046,Penn Station New York,"8720",0,8720,9,
2137239,9,249426,Secaucus Station,"8721",1,8721,109,
2142138,9,249759,Penn Station New York,"8722",0,8722,9,
2143605,9,250050,Penn Station New York,"8722",0,8722,9,
2143675,9,249563,Penn Station New York,"8724",0,8724,9,
2142970,9,250046,Penn Station New York,"8724",0,8724,9,
2142139,9,249759,Penn Station New York,"8726",0,8726,9,
2143602,9,250050,Penn Station New York,"8726",0,8726,9,
2144679,9,249563,Penn Station New York,"8728",0,8728,9,
2143600,9,250050,Secaucus Station,"8729",1,8729,109,
2143010,17,249451,Meadowlands,"2209",1,2209,117,
2143044,17,249451,Secaucus Junction,"2210",0,2210,17,
2143012,17,249451,Meadowlands,"2211",1,2211,117,
2142316,17,249759,Secaucus Junction,"2212",0,2212,17,
2143728,17,249426,Meadowlands,"2213",1,2213,117,
2143023,17,249451,Meadowlands,"2213",1,2213,117,
2143198001,17,250050,Meadowlands,"2213",1,2213,117,
2143062,17,249451,Secaucus Junction,"2214",0,2214,17,
2143718,17,249426,Meadowlands,"2215",1,2215,117,
2143013001,17,250046,Meadowlands,"2215",1,2215,117,
2143237,17,249442,Secaucus Junction,"2216",0,2216,17,
2143063001,17,250046,Secaucus Junction,"2216",0,2216,17,
2143835,17,249435,Meadowlands,"2217",1,2217,117,
2143024001,17,250046,Meadowlands,"2217",1,2217,117,
2143219001,17,250050,Secaucus Junction,"2218",0,2218,17,
2143752,17,249426,Secaucus Junction,"2220",0,2220,17,
2143836,17,249435,Meadowlands,"2221",1,2221,117,
2143199001,17,250050,Meadowlands,"2221",1,2221,117,
2143720,17,249426,Meadowlands,"2223",1,2223,117,
2143754,17,249426,Secaucus Junction,"2224",0,2224,17,
2143731,17,249426,Meadowlands,"2225",1,2225,117,
2143026001,17,250046,Meadowlands,"2225",1,2225,117,
2142304,17,249759,Secaucus Junction,"2226",0,2226,17,
2143190001,17,250050,Meadowlands,"2227",1,2227,117,
2143732,17,249426,Meadowlands,"2229",1,2229,117,
